time_s,acceleration_x,acceleration_y,acceleration_z
101.245,1.55242269,-19.5665355,12.8130372
101.343,5.49714141,-11.4856461,12.927912300000001
101.44,11.950345800000001,-9.64733058,6.723636660000001
101.535,14.1908517,-9.60903234,4.92361938
101.635,15.2249238,0.348513984,-5.7041422200000005
101.727,6.531193890000001,11.4741684,13.368381300000001
101.826,2.50987869,17.295520500000002,-4.6126423800000005
101.925,0.0587880927,11.914539300000001,2.22359346
102.018,0.21198134700000001,3.9102463800000002,-2.06580942
102.115,-0.305044893,5.193237420000001,1.2086901
102.21,-0.38164137300000006,4.8102550200000005,1.84061106
102.305,-0.247597533,4.48471998,1.84061106
102.4,-0.40079049299999997,7.93156158,5.63213682
102.503,5.28650109,48.125603700000006,16.6237317
102.6,21.1419234,13.3124643,4.3682949
102.695,16.680237299999998,8.6209299,-8.1743787
102.793,3.42903645,-29.8305423,18.4428981
102.89,-5.666795550000001,-27.839014199999998,24.551487
102.989,-1.99016451,-20.6963532,16.0492581
103.085,4.367343330000001,-30.8071278,5.72788242
103.183,7.890781410000001,-17.000631900000002,-0.284938317
103.28,10.629135,-14.5303758,5.478943859999999
103.377,9.78654429,-21.213438300000004,18.9598851
103.475,11.8354707,-11.7153963,8.21726802
103.573,8.96313213,-4.89834882,1.7831637
103.67,9.709947810000001,-3.7685507400000002,-1.77857262
103.77,10.648264500000002,-1.68129666,-12.980788200000001
103.865,8.04397437,2.6847027000000003,-19.5298461
103.96,10.878014700000001,-1.22171778,-12.4063146
104.06,7.22056221,-9.30264642,-15.4127853
104.156,0.26942870700000005,-19.5665355,-7.75309806
104.255,-1.07100675,-19.3559148,5.93852274
104.355,-3.9242256300000005,-15.9282027,13.2343767
104.45,-4.11571683,-12.6537228,13.349251800000001
104.55,-4.19231331,-11.5239051,11.3194647
104.645,-7.639154910000001,-5.70261186,17.255691900000002
104.743,-13.269006000000001,-11.811141899999999,22.2152355
104.84,-8.61576003,-16.789913100000003,14.7854358
104.94,-1.54973475,-15.0091038,-2.29559886
105.035,3.50563293,-0.762134976,-7.75309806
105.13,4.65458013,5.384728620000001,-7.06372974
105.23,5.8035273300000005,8.65922814,2.01295314
105.328,4.4630889300000005,-0.8004332160000001,11.376853200000001
105.425,3.9843609300000002,-8.555830740000001,13.138631100000001
105.523,6.51204477,-8.91966402,4.981066740000001
105.62,9.11632509,-5.5877171400000005,1.0363480200000001
105.72,9.74824605,-5.836655700000001,-1.2423972600000002
105.813,9.11632509,-3.8834454600000003,-2.75517774
105.91,7.66099197,-3.1366297800000003,-5.99137902
106.005,11.682336600000001,-23.2432254,-16.6382505
106.104,10.571648399999999,-10.738810800000001,-14.1297354
106.199,5.68863261,-21.8261709,-37.5107913
106.295,11.8354707,-2.7536473800000003,-5.2828615800000005
106.394,-1.76037507,31.0445298,-25.9255737
106.49,-5.97318147,11.3018067,-31.9575465
106.589,-0.32419401300000006,0.118724544,-5.64669486
106.684,-0.017808387300000002,-0.053617634100000006,-3.0998619
106.779,-0.726325533,-3.9408928200000006,-5.47435278
106.875,-0.40079049299999997,-3.8259981000000005,-4.03816878
106.97,-0.0944049654,-4.6877085,-7.56160686
107.068,0.231130467,-6.10474338,-6.10627374
107.163,-0.956114973,-11.2558959,-4.59349326
107.264,-0.764623773,-11.830369500000002,4.82787378
107.36,1.53327357,-10.5473196,5.65128594
107.455,-4.44125187,-0.13021401600000002,2.22359346
107.555,-12.847764600000001,9.78902622,-13.8424986
107.655,-14.590314900000001,15.0933717,-13.5743913
